Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470),C7H9(588)
6.917488574504694e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999967,2.7838533020918281e-16,8.9663936637466068e-19,3.1605991779006374e-29,8.9663936637503315e-19,2.2844677815517567e-29,6.8555363990329202e-30,7.031978656971585e-57,4.7062039849627138e-49,2.942096268380795e-59,2.0457274339922339e-86,3.3908812139045849e-89,1.5509881939423209e-97,1.4771386409833432e-99,3.3294604603841913e-100,2.9207853051480746e-67,1.2130997875617516e-68,2.9311208848777245e-96,1.0255667915386556e-87,1.6317783832158661e-84,9.5193731290927475e-98,1.9521678285507009e-113,-5.0045807220912286e-184,-5.5780153245435477e-155,-2.1375329373241094e-163,-3.6471448431014998e-140,0.0
1.9368968008613143e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.7947892458560919e-16,2.5105902258996473e-18,1.9090019034517994e-28,2.5105902259018964e-18,1.3798185400804659e-28,4.1407439850871755e-29,2.2109666004255077e-55,5.5872053905020087e-48,6.5813516905210359e-58,2.3132213607189402e-84,2.6165558643865401e-87,2.1697694516216273e-95,2.0664587921381244e-97,4.6577841510737125e-98,1.6822228097457322e-65,6.9868336651482723e-67,5.9738208974053952e-94,1.0734688727912138e-85,1.7079952454533648e-82,1.8030398631659686e-95,7.1740354010527818e-111,9.7578504565871923e-181,1.0416847407531813e-151,7.1831130162864731e-160,3.5375029520770914e-137,3.4746003184178926e-220
4.4271926876830044e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999822,1.781666113338051e-15,5.7384919451520112e-18,9.1910224093322584e-28,5.738491945162838e-18,6.6432323091005834e-28,1.9935899849457125e-28,4.9325448555499598e-54,5.4855514232902567e-47,1.3003641978052845e-56,2.0930514162369695e-82,2.8516505700091975e-85,4.7173229727088196e-93,4.4927231855124318e-95,1.0126567671229949e-95,7.5437931552848673e-64,3.133189467042544e-65,1.0813708049767595e-91,9.6431357642367779e-84,1.5343183091621117e-80,3.2403243192196553e-93,2.5971276627866818e-108,1.635399203388858e-176,4.3361705663962175e-148,5.9826570263177205e-156,7.3042026071850654e-134,4.3569105528998038e-215
9.407784461326383e-18,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999611,3.7860404908412912e-15,1.21942953844663e-17,4.0139609559309194e-27,1.2194295384513581e-17,2.9012740829304076e-27,8.7065312278768503e-28,9.2381106007201425e-53,4.8519081812329804e-46,2.3139286437688461e-55,1.5858040048678729e-80,2.3328272166728539e-83,7.7297675665818365e-91,7.3617704231113062e-93,1.6593380710024161e-93,2.8381635236786606e-62,1.1787841821751437e-63,1.640024051474571e-89,7.2716360594437653e-82,1.1569891622612105e-78,4.8920978461861561e-91,7.8814428722609102e-106,1.9585228519475121e-172,1.2274017491817683e-144,3.3871079394537074e-152,1.0288187125219202e-130,5.5302432087360855e-210
1.936896800861314e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.99999999999999212,7.7947892458411962e-15,2.5105902266333124e-17,1.6757496841203154e-26,2.5105902266530512e-17,1.2112248181024506e-26,3.6348053997617911e-27,1.5956538643267849e-51,4.0783212920343495e-45,3.9027789763607427e-54,1.102458053013423e-78,1.6789526773167849e-81,1.1135644217082646e-88,1.0605588000926011e-90,2.3904923553006268e-91,9.8276591568938817e-61,4.0817553478226932e-62,2.2814016368597749e-87,5.0418082043295634e-80,8.0220140193514591e-77,6.7878846176990564e-89,2.1933247733401159e-103,1.9347983882279364e-168,2.9348580501374665e-141,1.6198450359333214e-148,1.2266382372835185e-127,4.9633234770196415e-205
3.9291335103186655e-17,0.1122453720000009,0.0,0.0,0.0,0.0,0.99999999999998412,1.5812286755814714e-14,5.0929116043019756e-17,6.8459842432778595e-26,5.092911604382615e-17,4.9482485962931057e-26,1.4849366070181686e-26,2.6512027394591302e-50,3.343654387694583e-44,6.4103265417841516e-53,7.3504964790665757e-77,1.1380487763801161e-79,1.5102523517588355e-86,1.4383880474834442e-88,3.242116918911765e-89,3.2697240792967209e-59,1.35802570001363e-60,3.0429503937492621e-85,3.3569152963536172e-78,5.3411817754950907e-75,9.041693148389661e-87,5.8517551219509332e-101,1.7386634560982797e-164,6.4841320450209904e-138,7.157735206586648e-145,1.3529996894026586e-124,3.7889148474079083e-200
7.91360692923337e-17,0.11224537200000177,0.0,0.0,0.0,0.0,0.99999999999996825,3.1847281775656562e-14,1.0257554364820497e-16,2.7672562889944191e-25,1.0257554365146453e-16,2.0001611994565573e-25,6.0023511900269529e-26,4.3221295254054633e-49,2.7077783220935739e-43,1.0391416710954327e-51,4.8010359731302047e-75,7.4934239357875365e-78,1.9892088125373604e-84,1.8946159904093209e-86,4.270451610407563e-87,1.0667491920477451e-57,4.4305659278969582e-59,3.975560589850803e-83,2.1910632569213255e-76,3.4861947975525542e-73,1.1804853937141606e-84,1.5291503805723013e-98,1.4913101834956467e-160,1.3787326490587208e-134,3.0439502590184729e-141,1.4371424928987518e-121,2.6769301518034529e-195
1.5882553767062778e-16,0.11224537200000363,0.0,0.0,0.0,0.0,0.99999999999993572,6.3917271814919517e-14,2.0586839906582298e-16,1.1127015829619261e-24,2.0586839907892958e-16,8.0425602219505552e-25,2.4135190170432775e-25,6.9802505058643817e-48,2.1794560621773294e-42,1.6735059957838588e-50,3.1040004585734776e-73,4.8640452108754998e-76,2.5825412820345272e-82,2.4598954696512541e-84,5.5445877235180843e-85,3.4466681410996964e-56,1.4315164587284157e-57,5.1409460570106592e-81,1.416085494747442e-74,2.2531272839813926e-71,1.5260130893093447e-82,3.9549433307977467e-96,1.2499802999747994e-156,2.8768517816078672e-131,1.2703011053538537e-137,1.4982309305947378e-118,1.8210329127004878e-190
3.182044744272159e-16,0.11224537200000727,0.0,0.0,0.0,0.0,0.99999999999987099,1.2805725189176245e-13,4.1245411073004967e-16,4.4624310155643876e-24,4.1245411078261315e-16,3.2254263686960928e-24,9.6792907538309783e-25,1.122054810629032e-46,1.7488770304371319e-41,2.6863489349593938e-49,1.9966510505593848e-71,3.1350045292413065e-74,3.3287784011585595e-80,3.1711104743426052e-82,7.1476615153561019e-83,1.1082549251013813e-54,4.6029529532361685e-56,6.6140496364918281e-79,9.1073955798478712e-73,1.4490704120826526e-69,1.9629490040268461e-80,1.0176592823959029e-93,1.0357467812026368e-152,5.9469004022270788e-128,5.2518261539934272e-134,1.5470292620711206e-115,1.2158152438076633e-185
6.369623479403922e-16,0.1122453720000145,0.0,0.0,0.0,0.0,0.99999999999974187,2.5633721203871655e-13,8.2562553737446588e-16,1.7872999978366204e-23,8.2562553758499442e-16,1.2918529268638605e-23,3.8767650109842461e-24,1.7994702673255604e-45,1.4012311005132309e-40,4.305166620137457e-48,1.2810963134265532e-69,2.013475570485293e-72,4.2748509508958151e-78,4.0734431158445643e-80,9.1815131472070363e-81,3.5549531824647102e-53,1.4764907549854635e-54,8.4875848532743337e-77,5.8430170349978187e-71,9.2967363029040897e-68,2.5187721359083114e-78,2.6118784045451897e-91,8.533255748626378e-149,1.2235993520316308e-124,2.1611675001283497e-130,1.5888691738400762e-112,8.0421708226653885e-181
