Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14)
4.303865031046961e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.7320328396577659e-16,5.5786354348326354e-19,1.2234589204883802e-29,5.578635434834076e-19,8.8431094586978526e-30,2.6537610325802844e-30,1.0537012039337292e-57
1.2050822086931492e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,4.8496919510413488e-16,1.5620179217727242e-18,7.3896918797493712e-29,1.5620179217735943e-18,5.3412381131093902e-29,1.6028716636956622e-29,3.3130051765162669e-56
2.7544736198700555e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.999999999999999,1.1085010173806925e-15,3.570326678429991e-18,3.5578185407795384e-28,3.5703266784341811e-18,2.5715762306731662e-28,7.7171370830010249e-29,7.3911322964507059e-55
5.853256442223867e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999767,2.355564661933171e-15,7.5869441920579027e-18,1.5537928290195479e-27,7.5869441920762036e-18,1.1230749013412524e-27,3.3702765116431018e-28,1.3842772783014176e-53
1.2050822086931491e-17,0.11224537200000027,0.0,0.0,0.0,0.0,0.99999999999999512,4.8496919510355832e-15,1.5620179220567237e-17,6.4867791964231281e-27,1.5620179220643645e-17,4.6886166357812266e-27,1.4070240997135924e-27,2.3909947473657987e-52
2.444595337634674e-17,0.11224537200000055,0.0,0.0,0.0,0.0,0.99999999999999012,9.8379465292302274e-15,3.1686649282599985e-17,2.6500609601293445e-26,3.1686649282912115e-17,1.9154528818518717e-26,5.748152549038182e-27,3.9726735149784452e-51
4.923621595517724e-17,0.11224537200000109,0.0,0.0,0.0,0.0,0.99999999999998024,1.9814455685578811e-14,6.3819589426721734e-17,1.0711970109113952e-25,6.3819589427983455e-17,7.7425668057736959e-26,2.3234951662217826e-26,6.4764604213544784e-50
9.881674111283823e-17,0.11224537200000229,0.0,0.0,0.0,0.0,0.99999999999995981,3.976747399811308e-14,1.2808546979519017e-16,4.307236067900746e-25,1.2808546980026355e-16,3.1132520617765066e-25,9.3426718791709728e-26,1.045950068914734e-48
1.979777914281602e-16,0.1122453720000045,0.0,0.0,0.0,0.0,0.99999999999991995,7.9673510622530204e-14,2.5661723085302732e-16,1.7273943090554938e-24,2.5661723087337377e-16,1.2485533221554246e-24,3.7468292902331107e-25,1.6813341262796421e-47
3.9629989205880417e-16,0.11224537200000902,0.0,0.0,0.0,0.0,0.99999999999983957,1.5948558386875853e-13,5.1368075425230162e-16,6.9185872769811186e-24,5.1368075433379361e-16,5.000725722439043e-24,1.500686056257677e-24,2.696402088599417e-46
