Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38)
5.827455207131557e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.3451835512901126e-16,7.5535010838220941e-19,2.2430058681875865e-29,7.5535010838247365e-19,1.6212351998064744e-29,4.8652193799451758e-30,3.5416000731140819e-57,2.813599172485407e-49,1.4817633646458639e-59,7.311908274176757e-87,1.2119802357977674e-89,4.6700553160589617e-98,4.4476920931243315e-100,1.0025067758156497e-100,1.2392311237525285e-67,5.1469386805248757e-69,8.4000244413176632e-97
1.631687457996836e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,6.5665139436115872e-16,2.1149803035060951e-18,1.3547755443851917e-28,2.114980303507691e-18,9.7922606069698389e-29,2.9385925055295097e-29,1.1135357281703776e-55,3.3403049474230334e-48,3.314645385514042e-58,8.2679941059444425e-85,9.3521824914303527e-88,6.5332185392150136e-96,6.2221460944925496e-98,1.4024675243926063e-98,7.1373368641327595e-66,2.9643731552506683e-67,1.7181101293750642e-94
3.7295713325641964e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999856,1.5009174728251616e-15,4.8342406938974972e-18,6.5226610646878315e-28,4.8342406939051809e-18,4.7145519612453244e-28,1.414805795751991e-28,2.4842369519557612e-54,3.2795312248706114e-47,6.54918075452472e-57,7.4810552299307739e-83,1.0192465944650075e-85,1.4203956938148506e-93,1.3527673591388381e-95,3.0491284773608112e-96,3.2006814245329191e-64,1.3293493438481367e-65,3.1111445362662445e-92
7.925339081698917e-18,0.11224537200000019,0.0,0.0,0.0,0.0,0.99999999999999678,3.1894496297520009e-15,1.0272761475254829e-17,2.8486174525965073e-27,1.0272761475288384e-17,2.0589687039692554e-27,6.1788286131910223e-28,4.6527008673722544e-53,2.900708263753775e-46,1.1653917366920555e-55,5.6680343511932393e-81,8.3380699674014947e-84,2.3274504937943739e-91,2.2166428530610467e-93,4.9962979888687925e-94,1.2041763454806615e-62,5.0013444646353357e-64,4.7194048723641901e-90
1.631687457996836e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.99999999999999334,6.5665139436010155e-15,2.1149803040267597e-17,1.1892417113115027e-26,2.1149803040407679e-17,8.5957890313092205e-27,2.5795393158415153e-27,8.0363836764030703e-52,2.4382201350475138e-45,1.9656035468734233e-54,3.9404428777074881e-79,6.0009694728718926e-82,3.3529720020132939e-89,3.1933624009607268e-91,7.1978172325247673e-92,4.1696803572656785e-61,1.7318067921593847e-62,6.5658392432933798e-88
3.309994557650724e-17,0.11224537200000073,0.0,0.0,0.0,0.0,0.99999999999998679,1.3320642571280386e-14,4.2903886179485586e-17,4.8584404307158674e-26,4.2903886180057868e-17,3.5116602938273653e-26,1.0538259790770594e-26,1.3352571582926966e-50,1.9990002738076694e-44,3.228509878187783e-53,2.6272393082005874e-77,4.0676524567200453e-80,4.5474216692421807e-87,4.3310133485562975e-89,9.7620747605148547e-90,1.387278910072708e-59,5.7618302291876659e-61,8.7581030860356259e-86
6.666608756958501e-17,0.1122453720000015,0.0,0.0,0.0,0.0,0.99999999999997313,2.6828899826564468e-14,8.6412052494691307e-17,1.9638593018690676e-25,8.6412052497004568e-17,1.4194692380679978e-25,4.2597331018132274e-26,2.1768061402755488e-49,1.6188424048584454e-43,5.233554125126229e-52,1.7160024923278741e-75,2.6783249598058203e-78,5.9896070717268151e-85,5.7047242568456732e-87,1.2858409839036535e-87,4.5260047153313662e-58,1.8798001231089765e-59,1.1442661409024058e-83
1.3379837155574054e-16,0.11224537200000305,0.0,0.0,0.0,0.0,0.99999999999994582,5.384541433683405e-14,1.734283852721817e-16,7.8965918791012138e-25,1.7342838528148318e-16,5.7076233812591516e-25,1.7128199469460199e-25,3.5155476366194019e-48,1.3029854539302476e-42,8.4284791444805746e-51,1.1094423007084228e-73,1.738523528689483e-76,7.7762414076866135e-83,7.4067914364132365e-85,1.6694857722516564e-85,1.4623527677503743e-56,6.0736368153657561e-58,1.4797163446703162e-81
2.680629395280516e-16,0.11224537200000612,0.0,0.0,0.0,0.0,0.99999999999989131,1.0787844335617886e-13,3.4746105141547855e-16,3.1668865271880266e-24,3.4746105145278171e-16,2.289012260001792e-24,6.8691740782838492e-25,5.6511398466362843e-47,1.0455641694715074e-41,1.3529580685644678e-49,7.1364971073548709e-72,1.1205239688435358e-74,1.0023429789537616e-80,9.5482733540564269e-83,2.1521743431302992e-83,4.7021053566906269e-55,1.9529405140822953e-56,1.9037337736171822e-79
5.365920754726737e-16,0.1122453720000122,0.0,0.0,0.0,0.0,0.99999999999978273,2.1594450139009109e-13,6.9552638605533609e-16,1.2684064500882569e-23,6.9552638620474349e-16,9.1679884999792827e-24,2.751252584370192e-24,9.062889119718431e-46,8.3772432006181632e-41,2.1682622942082436e-48,4.5789369447639019e-70,7.1966330678276015e-73,1.2872723761937412e-78,1.2265214409977167e-80,2.7645710092341275e-81,1.5082960020731164e-53,6.2644539714622489e-55,2.443005707796258e-77
