Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28)
4.96967049876272e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.9999792524818136e-16,6.4416473682410897e-19,1.631276995045538e-29,6.4416473682430108e-19,1.179080145311253e-29,3.5383413672250296e-30,1.8732430140616497e-57,1.7450512260511296e-49,7.8374260588938197e-60,2.6058822271208119e-87,4.6621629099831644e-90
1.3915077396535617e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.5999419069485481e-16,1.8036612631336203e-18,9.8529130500743622e-29,1.8036612631347805e-18,7.1216440777660136e-29,2.1371581858303536e-29,5.889775753359498e-56,2.0717248207769488e-48,1.7532008638814177e-58,2.9640030163423552e-85,3.597533784122415e-88
3.180589119208141e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.2799867215879895e-15,4.1226543158571013e-18,4.7437535015913899e-28,4.1226543158626896e-18,3.4287650626941896e-28,1.028949669628692e-28,1.3139765701018042e-54,2.0340317246470451e-47,3.4640294846779935e-57,2.6833006760198641e-83,3.9207683170204497e-86
6.7587518783172995e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999722,2.719971783373411e-15,8.7606404217219029e-18,2.0717217837067621e-27,8.7606404217463052e-18,1.4974317846786591e-27,4.4936935367855362e-28,2.4609326919571818e-53,1.7990780442150116e-46,6.1640554467773045e-56,2.0337031386423115e-81,3.2074319542382396e-84
1.3915077396535615e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.99999999999999445,5.599941906940861e-15,1.8036612635122859e-17,8.6490306277218e-27,1.8036612635224742e-17,6.2514829316405728e-27,1.8760285932714848e-27,4.2506492234233322e-52,1.5122335297303321e-45,1.039658067443619e-54,1.4141110901249724e-79,2.3084121147933609e-82
2.8227728432972253e-17,0.11224537200000062,0.0,0.0,0.0,0.0,0.99999999999998868,1.1359882154062189e-14,3.6588557068610182e-17,3.5334112223402691e-26,3.6588557069026393e-17,2.5539347589662479e-26,7.6641889381863855e-27,7.0625172213555869e-51,1.2398204637724463e-44,1.7076415653839948e-53,9.4293395759791331e-78,1.5647169550901848e-80
5.685303050584552e-17,0.11224537200000129,0.0,0.0,0.0,0.0,0.99999999999997713,2.2879762648250559e-14,7.3692445962326462e-17,1.4282613104514098e-25,7.3692445964008831e-17,1.0323412639029339e-25,3.0979877099594668e-26,1.1513685436830651e-49,1.004038838351951e-43,2.7681607842702167e-52,6.1591583041702965e-76,1.0302799811785763e-78
1.1410363465159204e-16,0.11224537200000263,0.0,0.0,0.0,0.0,0.99999999999995359,4.5919523636410114e-14,1.4790022385672552e-16,5.7429759120830922e-25,1.4790022386349024e-16,4.1509988215546158e-25,1.245687233780237e-25,1.8594632343332816e-48,8.0813793895020304e-43,4.4580383124530285e-51,3.9821637537468462e-74,6.6876363954419585e-77
2.2860484294308515e-16,0.11224537200000519,0.0,0.0,0.0,0.0,0.99999999999990752,9.1999045611860676e-14,2.9631578007338992e-16,2.3031902015989033e-24,2.9631578010051949e-16,1.6647361881458891e-24,4.9957629631172112e-25,2.9890327155305504e-47,6.4848001380667781e-42,7.1561410679112399e-50,2.5615625030880935e-72,4.3103586236024601e-75
4.576072595260714e-16,0.11224537200001043,0.0,0.0,0.0,0.0,0.99999999999981448,1.8415808955928724e-13,5.9314689421818328e-16,9.2247741825210247e-24,5.9314689432684305e-16,6.6676279924028253e-24,2.0009109681215831e-24,4.7935944676770637e-46,5.1957348294347315e-41,1.1468492269723279e-48,1.6435663481921707e-70,2.7683561586561675e-73
