Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32)
4.8118627694615805e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.9364715844056107e-16,6.2370982448321664e-19,1.5293221828551956e-29,6.2370982448339662e-19,1.1053876362288609e-29,3.3171950317721161e-30,1.6464049928461913e-57,1.5840361726056446e-49,6.888362746744311e-60,2.1471807905362553e-87
1.3473215754492426e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.4221204363352135e-16,1.7463875085774893e-18,9.2371059844447581e-29,1.7463875085785767e-18,6.676541322900424e-29,2.0035857992143542e-29,5.1765607208328672e-56,1.8805677486956858e-48,1.5408991965793552e-58,2.4422632273809362e-85
3.079592172455412e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.239341814019243e-15,3.9917428768639656e-18,4.4472689077419697e-28,3.9917428768692034e-18,3.2144672462706831e-28,9.6464031527532565e-29,1.1548622198638974e-54,1.8463525764665448e-47,3.0445571634077931e-57,2.2109716259223983e-83
6.54413336646775e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999734,2.6336013547898906e-15,8.4824536138286409e-18,1.9422391722251262e-27,8.4824536138515163e-18,1.4038422981317147e-27,4.2128376907225282e-28,2.1629291239705284e-53,1.6330779608149879e-46,5.4176268542814181e-56,1.6757197485320583e-81
1.3473215754492427e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.99999999999999456,5.4221204363280069e-15,1.7463875089324883e-17,8.1084662134894911e-27,1.7463875089420391e-17,5.8607652483749751e-27,1.7587768061803223e-27,3.7359221696477802e-52,1.3727004536253478e-45,9.1376197221765876e-55,1.1651916320673807e-79
2.733138053054178e-17,0.11224537200000062,0.0,0.0,0.0,0.0,0.9999999999999889,1.0999158599391513e-14,3.5426718046584936e-17,3.3125730209442519e-26,3.5426718046975126e-17,2.3943138364996521e-26,7.1851771294538604e-27,6.2072905286559648e-51,1.1254228115968875e-44,1.5008568408440575e-53,7.7695363797902162e-78
5.5047710082640484e-17,0.11224537200000123,0.0,0.0,0.0,0.0,0.99999999999997791,2.2153234925467636e-14,7.1352403986175343e-17,1.3389949785484005e-25,7.1352403987752571e-17,9.6781993488372988e-26,2.9043634780093602e-26,1.0119450097730455e-49,9.1139664369803968e-44,2.4329538021243657e-52,5.0749900393237594e-76
1.104803691868379e-16,0.11224537200000252,0.0,0.0,0.0,0.0,0.99999999999995515,4.4461387577416279e-14,1.4320377596563726e-16,5.3840399175795382e-25,1.4320377597197919e-16,3.8915613950040525e-25,1.1678317816064817e-25,1.6342938604868169e-48,7.3357142496632644e-43,3.9181976962135386e-51,3.281201799523989e-74
2.2134568739523271e-16,0.112245372000005,0.0,0.0,0.0,0.0,0.99999999999991052,8.9077692880499276e-14,2.8690652032568566e-16,2.1592408140002855e-24,2.8690652035111967e-16,1.5606901762235552e-24,4.6835277774209353e-25,2.6270795421634502e-47,5.8864505663130545e-42,6.2895769839684326e-50,2.1106624320119468e-72
4.430763238120224e-16,0.1122453720000101,0.0,0.0,0.0,0.0,0.99999999999982037,1.7831030348340783e-13,5.7431201065028042e-16,8.6482257961239805e-24,5.7431201075214918e-16,6.2509012415699367e-24,1.875854032212215e-24,4.2131201601542558e-46,4.7163266317130202e-41,1.0079729128156968e-48,1.3542569000913637e-70
